userid,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level ,adgroup_id,cate_id,campaign_id,customer,brand,price,time_stamp,pid,nonclk,clk
234,0,5,2,5,,3,0,3.0,355520,6433,12978,1889,78538.0,399.0,1494305899,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,820948,1665,272132,4246,348162.0,599.0,1494379790,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,832105,6261,278469,4246,348162.0,75.0,1494379790,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,658193,6261,401610,4246,348162.0,88.0,1494483905,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,604855,4281,362543,6992,,78.0,1494600125,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,658792,6261,384788,7348,400778.0,399.0,1494379790,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,452450,6261,134900,7523,97592.0,199.0,1494395589,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,323143,4280,103793,7523,97592.0,149.0,1494395589,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,162445,4284,149563,16300,125734.0,169.0,1494385709,430548_1007,1,0
234,0,5,2,5,,3,0,3.0,643687,1665,324754,16558,97000.0,179.8,1494113634,430548_1007,1,0
