display_id,ad_id,clicked,uuid,document_id,timestamp,platform,geo_location,campaign_id,advertiser_id,source_id,publisher_id,publish_time,category_id,confidence_level_x,topic_id,confidence_level_y
1,42337,0,cb8c55702adb93,379743,61,3,US>SC>519,5969,1499,6482.0,24.0,,1203.0,0.345951832,285.0,0.020253829754868
1,42337,0,cb8c55702adb93,379743,61,3,US>SC>519,5969,1499,6482.0,24.0,,1203.0,0.345951832,226.0,0.0193948423859127
1,42337,0,cb8c55702adb93,379743,61,3,US>SC>519,5969,1499,6482.0,24.0,,1702.0,0.026322422,285.0,0.020253829754868
1,42337,0,cb8c55702adb93,379743,61,3,US>SC>519,5969,1499,6482.0,24.0,,1702.0,0.026322422,226.0,0.0193948423859127
1,139684,0,cb8c55702adb93,379743,61,3,US>SC>519,17527,2563,6482.0,24.0,,1203.0,0.345951832,285.0,0.020253829754868
1,139684,0,cb8c55702adb93,379743,61,3,US>SC>519,17527,2563,6482.0,24.0,,1203.0,0.345951832,226.0,0.0193948423859127
1,139684,0,cb8c55702adb93,379743,61,3,US>SC>519,17527,2563,6482.0,24.0,,1702.0,0.026322422,285.0,0.020253829754868
1,139684,0,cb8c55702adb93,379743,61,3,US>SC>519,17527,2563,6482.0,24.0,,1702.0,0.026322422,226.0,0.0193948423859127
1,144739,1,cb8c55702adb93,379743,61,3,US>SC>519,18488,2909,6482.0,24.0,,1203.0,0.345951832,285.0,0.020253829754868
1,144739,1,cb8c55702adb93,379743,61,3,US>SC>519,18488,2909,6482.0,24.0,,1203.0,0.345951832,226.0,0.0193948423859127
